SampleID,Tissue,Condition,Treatment,Replicate,bamReads,Peaks,PeakCaller
X1wk_Attp40_060720,attp40,1,control,1,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Attp40_06.07.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Attp40_06.07.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Attp40_140220,attp40,1,control,2,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Attp40_14.02.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Attp40_14.02.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Attp40_200720,attp40,1,control,3,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Attp40_20.07.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Attp40_20.07.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Ctl_Trip_040520,attp2,1,control,1,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Ctl_Trip_04.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Ctl_Trip_04.05.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Ctl_Trip_060520,attp2,1,control,2,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Ctl_Trip_06.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Ctl_Trip_06.05.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Ctl_Trip_120520,attp2,1,control,3,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Ctl_Trip_12.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Ctl_Trip_12.05.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_Ctl_Trip_130520,attp2,1,control,4,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_Ctl_Trip_13.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_Ctl_Trip_13.05.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_H7_LamC_iR_0705201,attp2,1,LamC iR,1,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_H7_LamC_iR_07.05.20.1.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_H7_LamC_iR_07.05.20.1.final.bam.sorted.bam_peaks.xls,macs
X1wk_H7_LamC_iR_070520,attp2,1,LamC iR,2,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_H7_LamC_iR_07.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_H7_LamC_iR_07.05.20.final.bam.sorted.bam_peaks.xls,macs
X1wk_H7_LamC_iR_110520,attp2,1,LamC iR,3,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/sorted_bams/X1wk_H7_LamC_iR_11.05.20.final.bam.sorted.bam,/Volumes/TUNEZ/TSCC_Files/scratch/kirkland_aging/macs2_output/X1wk_H7_LamC_iR_11.05.20.final.bam.sorted.bam_peaks.xls,macs
