"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chrY_CP007111v1_random"	1380	1580	201	"*"	5.56	3.38	6.11	-2.73	1.23e-18	1.55e-14	"12570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"chr3R"	8477650	8477850	201	"*"	4.42	5.49	2.87	2.62	1.62e-16	1.02e-12	"7730"	"FBgn0266801"	8364328	8477617	"-"	"upstream"	-33	33	"NearestLocation"	"CG45263"	"uncharacterized protein"
"chrY_CP007111v1_random"	11707	11907	201	"*"	4.76	2.77	5.29	-2.52	1.31e-11	5.49e-08	"12571"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"chr2R"	16365905	16366105	201	"*"	4.39	2.32	4.94	-2.62	1.16e-10	3.64e-07	"3641"	"FBgn0034122"	16363551	16365895	"-"	"upstream"	-10	10	"NearestLocation"	"CG15711"	"uncharacterized protein"
"chr3L"	9338030	9338230	201	"*"	6.76	7.36	6.22	1.14	1.6e-10	4.02e-07	"5724"	"FBgn0035976"	9338810	9348336	"+"	"upstream"	-780	580	"NearestLocation"	"PGRP-LC"	"Peptidoglycan recognition protein LC"
"chr2R"	21848432	21848632	201	"*"	5.28	3.86	5.75	-1.89	9.72e-10	2.04e-06	"4253"	"FBgn0050406"	21848407	21848478	"-"	"overlapStart"	46	25	"NearestLocation"	NA	NA
"chr3L"	12913893	12914093	201	"*"	6.66	7.24	6.15	1.09	1.35e-07	0.000242	"6178"	"FBgn0052115"	12912027	12913646	"-"	"upstream"	-247	247	"NearestLocation"	"CG32115"	"uncharacterized protein"
"chr3L"	9330179	9330379	201	"*"	4.16	4.96	3.32	1.63	1.8e-07	0.000283	"5721"	"FBgn0035975"	9334332	9338336	"+"	"upstream"	-4153	3953	"NearestLocation"	"PGRP-LA"	"Peptidoglycan recognition protein LA"
"chr2R"	16364650	16364850	201	"*"	3.92	2.13	4.43	-2.31	2.99e-07	0.000418	"3640"	"FBgn0034122"	16363551	16365895	"-"	"inside"	1245	1045	"NearestLocation"	"CG15711"	"uncharacterized protein"
"chr3R"	11982581	11982781	201	"*"	5.91	6.55	5.33	1.22	4.52e-07	0.000568	"8134"	"FBgn0037974"	11980704	11982062	"-"	"upstream"	-519	519	"NearestLocation"	NA	NA
"chrX"	712960	713160	201	"*"	5.67	6.3	5.11	1.19	3.66e-06	0.00395	"10358"	"FBgn0021764"	686834	749496	"+"	"inside"	26126	26126	"NearestLocation"	"sdk"	"sidekick"
"chr3L"	11523382	11523582	201	"*"	6.52	7.06	6.07	0.99	3.77e-06	0.00395	"6020"	"FBgn0036170"	11518798	11522713	"-"	"upstream"	-669	669	"NearestLocation"	"CG11714"	"uncharacterized protein"
"chr3L"	11523382	11523582	201	"*"	6.52	7.06	6.07	0.99	3.77e-06	0.00395	"6020"	"FBgn0285958"	11518798	11522713	"-"	"upstream"	-669	669	"NearestLocation"	"Fuca"	"alpha-L-fucosidase"
"chr3L"	15099471	15099671	201	"*"	5.19	5.79	4.65	1.14	5.66e-06	0.00547	"6346"	"FBgn0264704"	15098534	15099502	"-"	"overlapStart"	31	31	"NearestLocation"	NA	NA
"chr2R"	8798215	8798415	201	"*"	5.36	5.94	4.86	1.07	7.85e-06	0.00705	"2667"	"FBgn0024189"	8798489	8856091	"+"	"upstream"	-274	74	"NearestLocation"	"sns"	"sticks and stones"
"chrY_CP007111v1_random"	27677	27877	201	"*"	4.05	2.57	4.51	-1.94	8.85e-06	0.00742	"12574"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"chr3L"	4840334	4840534	201	"*"	5.26	5.9	4.67	1.23	1.14e-05	0.00859	"5268"	"FBgn0035578"	4837791	4840108	"-"	"upstream"	-226	226	"NearestLocation"	"CG13707"	"uncharacterized protein"
"chr3L"	18640784	18640984	201	"*"	7.26	7.77	6.84	0.93	1.16e-05	0.00859	"6760"	"FBgn0036801"	18625959	18667177	"+"	"inside"	14825	14825	"NearestLocation"	"MYPT-75D"	"Myosin phosphatase targeting subunit 75D"
