"peak.x"	"Chr.x"	"Start.x"	"End.x"	"Annotation.x"	"Detailed.Annotation.x"	"Distance.to.TSS.x"	"Nearest.PromoterID.x"	"Entrez.ID.x"	"Nearest.Unigene.x"	"Nearest.Refseq"	"Gene.Name.x"	"Gene.Alias.x"	"Gene.Description.x"	"Gene.Type.x"	"Conc.x"	"Conc_group1.x"	"Conc_group2.x"	"Fold.x"	"p.value.x"	"FDR.x"	"peak.y"	"Chr.y"	"Start.y"	"End.y"	"Annotation.y"	"Detailed.Annotation.y"	"Distance.to.TSS.y"	"Nearest.PromoterID.y"	"Entrez.ID.y"	"Nearest.Unigene.y"	"Gene.Name.y"	"Gene.Alias.y"	"Gene.Description.y"	"Gene.Type.y"	"Conc.y"	"Conc_group1.y"	"Conc_group2.y"	"Fold.y"	"p.value.y"	"FDR.y"
8950	"chr4"	1272350	1272549	"TTS (NM_001258511)"	"TTS (NM_001258511)"	40566	"NM_001031860"	49968	"Dm.6976"	"NM_001031858"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	4.96	4.17	5.47	-1.3	4.52e-08	2.6e-05	9562	"chr4"	1268519	1268718	"intron (NM_001031858, intron 21 of 22)"	"PROTOP|DNA|P"	36735	"NM_001031860"	49968	"Dm.6976"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	5.99	5.37	6.43	-1.06	1.77e-08	4.81e-06
8950	"chr4"	1272350	1272549	"TTS (NM_001258511)"	"TTS (NM_001258511)"	40566	"NM_001031860"	49968	"Dm.6976"	"NM_001031858"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	4.96	4.17	5.47	-1.3	4.52e-08	2.6e-05	9560	"chr4"	1257082	1257281	"intron (NM_001031858, intron 18 of 22)"	"PROTOP_A|DNA|P"	25298	"NM_001031860"	49968	"Dm.6976"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	5.22	4.6	5.64	-1.04	4.17e-06	0.000247
8950	"chr4"	1272350	1272549	"TTS (NM_001258511)"	"TTS (NM_001258511)"	40566	"NM_001031860"	49968	"Dm.6976"	"NM_001031858"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	4.96	4.17	5.47	-1.3	4.52e-08	2.6e-05	9563	"chr4"	1272330	1272529	"TTS (NM_001258511)"	"TTS (NM_001258511)"	40546	"NM_001031860"	49968	"Dm.6976"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	5.61	5	6.04	-1.04	5.76e-07	6.34e-05
8950	"chr4"	1272350	1272549	"TTS (NM_001258511)"	"TTS (NM_001258511)"	40566	"NM_001031860"	49968	"Dm.6976"	"NM_001031858"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	4.96	4.17	5.47	-1.3	4.52e-08	2.6e-05	9561	"chr4"	1257953	1258152	"intron (NM_001031858, intron 18 of 22)"	"PROTOP_A|DNA|P"	26169	"NM_001031860"	49968	"Dm.6976"	"Cadps"	"BcDNA:GH07283|CAPS|CG17881|CG18026|CG33653|CG40477|Caps|Dmel\CG33653|SDCAP|cap|caps|dCAPS|dcaps|l(4)102Fb"	"Calcium-dependent secretion activator"	"protein-coding"	4.82	4.07	5.31	-1.24	8.36e-07	8.12e-05
273	"chr2L"	2925546	2925745	"intron (NM_001144303, intron 2 of 11)"	"intron (NM_001144303, intron 2 of 11)"	-20918	"NM_001144300"	33496	"Dm.2778"	"NM_078740"	"lilli"	"154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Dmel\CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124"	"lilliputian"	"protein-coding"	5.2	4.79	5.52	-0.73	0.000612	0.0613	283	"chr2L"	2922227	2922426	"intron (NM_001144301, intron 2 of 10)"	"intron (NM_001144301, intron 2 of 10)"	-24237	"NM_001144300"	33496	"Dm.2778"	"lilli"	"154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Dmel\CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124"	"lilliputian"	"protein-coding"	7.07	6.75	7.34	-0.59	5e-05	0.00155
8954	"chrUn_DS484280v1"	635	834	NA	"HETA|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	7.2	6.75	7.55	-0.8	1.54e-06	0.000527	9570	"chrUn_DS484309v1"	1618	1817	NA	"TART|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.77	4.32	5.11	-0.79	0.0014	0.018
8956	"chrUn_DS484314v1"	2087	2286	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	7.86	2.2	8.84	-6.64	9e-178	9.85e-174	9570	"chrUn_DS484309v1"	1618	1817	NA	"TART|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.77	4.32	5.11	-0.79	0.0014	0.018
2750	"chr2R"	12438844	12439043	"intron (NM_001032237, intron 1 of 6)"	"CpG"	1598	"NM_001032236"	36362	""	"NM_078988"	"Dyb"	"CG8529|DmDYB|Dmel\CG8529"	"Dystrobrevin"	"protein-coding"	6.05	5.78	6.28	-0.5	0.000702	0.0661	2941	"chr2R"	12438818	12439017	"intron (NM_001032237, intron 1 of 6)"	"CpG"	1572	"NM_078988"	36362	""	"Dyb"	"CG8529|DmDYB|Dmel\CG8529"	"Dystrobrevin"	"protein-coding"	6.25	5.93	6.52	-0.58	0.00122	0.0165
3995	"chr2R"	24195519	24195718	"TTS (NM_138050)"	"TTS (NM_138050)"	120	"NM_138051"	37875	"Dm.769"	"NM_138051"	"cN-IIIB"	"16769374|CG3362|Dmel\CG3362|cNIII-like"	"cytosolic 5'-nucleotidase IIIB"	"protein-coding"	5.24	4.9	5.51	-0.61	0.00113	0.0853	4244	"chr2R"	24192703	24192902	"exon (NM_138050, exon 5 of 6)"	"exon (NM_138050, exon 5 of 6)"	-2696	"NM_138051"	37875	"Dm.769"	"cN-IIIB"	"16769374|CG3362|Dmel\CG3362|cNIII-like"	"cytosolic 5'-nucleotidase IIIB"	"protein-coding"	5.56	5.26	5.82	-0.56	0.00744	0.0574
3995	"chr2R"	24195519	24195718	"TTS (NM_138050)"	"TTS (NM_138050)"	120	"NM_138051"	37875	"Dm.769"	"NM_138051"	"cN-IIIB"	"16769374|CG3362|Dmel\CG3362|cNIII-like"	"cytosolic 5'-nucleotidase IIIB"	"protein-coding"	5.24	4.9	5.51	-0.61	0.00113	0.0853	4245	"chr2R"	24195589	24195788	"TTS (NM_138050)"	"TTS (NM_138050)"	190	"NM_138051"	37875	"Dm.769"	"cN-IIIB"	"16769374|CG3362|Dmel\CG3362|cNIII-like"	"cytosolic 5'-nucleotidase IIIB"	"protein-coding"	6.35	6.05	6.6	-0.55	0.000989	0.0141
