"peak.x"	"Chr.x"	"Start.x"	"End.x"	"Annotation.x"	"Detailed.Annotation.x"	"Distance.to.TSS.x"	"Nearest.PromoterID.x"	"Entrez.ID.x"	"Nearest.Unigene.x"	"Nearest.Refseq"	"Gene.Name.x"	"Gene.Alias.x"	"Gene.Description.x"	"Gene.Type.x"	"Conc.x"	"Conc_group1.x"	"Conc_group2.x"	"Fold.x"	"p.value.x"	"FDR.x"	"peak.y"	"Chr.y"	"Start.y"	"End.y"	"Annotation.y"	"Detailed.Annotation.y"	"Distance.to.TSS.y"	"Nearest.PromoterID.y"	"Entrez.ID.y"	"Nearest.Unigene.y"	"Gene.Name.y"	"Gene.Alias.y"	"Gene.Description.y"	"Gene.Type.y"	"Conc.y"	"Conc_group1.y"	"Conc_group2.y"	"Fold.y"	"p.value.y"	"FDR.y"
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	8954	"chrUn_DS484280v1"	635	834	NA	"HETA|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.2	6.75	7.55	-0.8	1.54e-06	0.000527
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	8956	"chrUn_DS484314v1"	2087	2286	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.86	2.2	8.84	-6.64	9e-178	9.85e-174
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	10942	"chrY_CP007111v1_random"	21190	21389	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.32	2.53	5.1	-2.57	1.54e-18	3.38e-15
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	10940	"chrY_CP007111v1_random"	1471	1670	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	3.46	1.35	4.28	-2.93	2.41e-13	2.64e-10
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	10941	"chrY_CP007111v1_random"	13380	13579	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	5.86	1.07	6.83	-5.76	1.54e-85	8.44e-82
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	8954	"chrUn_DS484280v1"	635	834	NA	"HETA|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.2	6.75	7.55	-0.8	1.54e-06	0.000527
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	8956	"chrUn_DS484314v1"	2087	2286	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.86	2.2	8.84	-6.64	9e-178	9.85e-174
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	10942	"chrY_CP007111v1_random"	21190	21389	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.32	2.53	5.1	-2.57	1.54e-18	3.38e-15
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	10940	"chrY_CP007111v1_random"	1471	1670	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	3.46	1.35	4.28	-2.93	2.41e-13	2.64e-10
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	10941	"chrY_CP007111v1_random"	13380	13579	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	5.86	1.07	6.83	-5.76	1.54e-85	8.44e-82
10723	"chrY_CP007111v1_random"	26253	26452	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.5	2.83	4.99	-2.17	2.82e-08	1.89e-05	8954	"chrUn_DS484280v1"	635	834	NA	"HETA|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.2	6.75	7.55	-0.8	1.54e-06	0.000527
10723	"chrY_CP007111v1_random"	26253	26452	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.5	2.83	4.99	-2.17	2.82e-08	1.89e-05	8956	"chrUn_DS484314v1"	2087	2286	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	7.86	2.2	8.84	-6.64	9e-178	9.85e-174
10723	"chrY_CP007111v1_random"	26253	26452	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.5	2.83	4.99	-2.17	2.82e-08	1.89e-05	10942	"chrY_CP007111v1_random"	21190	21389	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.32	2.53	5.1	-2.57	1.54e-18	3.38e-15
