"peak.x","Chr.x","Start.x","End.x","Annotation.x","Detailed.Annotation.x","Distance.to.TSS.x","Nearest.PromoterID.x","Entrez.ID.x","Nearest.Unigene.x","Nearest.Refseq","Gene.Name.x","Gene.Alias.x","Gene.Description.x","Gene.Type.x","Conc.x","Conc_group1.x","Conc_group2.x","Fold.x","p.value.x","FDR.x","peak.y","Chr.y","Start.y","End.y","Annotation.y","Detailed.Annotation.y","Distance.to.TSS.y","Nearest.PromoterID.y","Entrez.ID.y","Nearest.Unigene.y","Gene.Name.y","Gene.Alias.y","Gene.Description.y","Gene.Type.y","Conc.y","Conc_group1.y","Conc_group2.y","Fold.y","p.value.y","FDR.y"
7542,"chr3R",11806916,11807115,"promoter-TSS (NM_176462)","promoter-TSS (NM_176462)",-448,"NM_001104282",41428,"Dm.10007","NM_169431","ClC-a","CG14726|CG31116|CG6942|CLC-2|Clc-a|DmClC-2|DmClC-a|DmClCa|Dmel\CG31116|FBgn0037951","Chloride channel-a","protein-coding",4.87,4.55,5.14,-0.59,0.0159,0.0959,7074,"chr3R",11801955,11802154,"exon (NM_176462, exon 4 of 16)","exon (NM_176462, exon 4 of 16)",2555,"NM_169432",41428,"Dm.10007","ClC-a","CG14726|CG31116|CG6942|CLC-2|Clc-a|DmClC-2|DmClC-a|DmClCa|Dmel\CG31116|FBgn0037951","Chloride channel-a","protein-coding",5.01,5.39,4.51,0.87,5.04e-05,0.0106
63,"chr2L",465835,466034,"intron (NM_134683, intron 1 of 1)","intron (NM_134683, intron 1 of 1)",5621,"NM_175945",33222,"Dm.18461","NM_134683","CG4297","Dmel\CG4297","uncharacterized protein","protein-coding",6.48,5.98,6.85,-0.87,1.15e-06,1e-04,59,"chr2L",470700,470899,"intron (NM_134683, intron 1 of 1)","intron (NM_134683, intron 1 of 1)",756,"NM_175945",33222,"Dm.18461","CG4297","Dmel\CG4297","uncharacterized protein","protein-coding",6.73,6.43,6.99,-0.56,1.74e-05,0.00442
1282,"chr2L",12473216,12473415,"intron (NM_001298946, intron 4 of 5)","intron (NM_001298946, intron 4 of 5)",10274,"NM_001169494",34665,"Dm.7349","NM_080364","bun","1550|Bun|BunA|CG31857|CG42281|CG5461|Dm_2L:60722|Dmel\CG42281|Dmel_CG31857|Dmel_CG5461|EP(2)0488|TSC-22|Tsc22|bnc|l(2)00255|l(2)02687|l(2)05479|l(2)06475|l(2)k02903|l(2)rI043|shs","bunched","protein-coding",5.21,4.9,5.47,-0.57,0.0108,0.0736,1221,"chr2L",12492180,12492379,"5' UTR (NM_001169493, exon 1 of 3)","5' UTR (NM_001169493, exon 1 of 3)",341,"NM_001169493",34665,"Dm.7349","bun","1550|Bun|BunA|CG31857|CG42281|CG5461|Dm_2L:60722|Dmel\CG42281|Dmel_CG31857|Dmel_CG5461|EP(2)0488|TSC-22|Tsc22|bnc|l(2)00255|l(2)02687|l(2)05479|l(2)06475|l(2)k02903|l(2)rI043|shs","bunched","protein-coding",6.2,6.45,5.89,0.55,0.00104,0.0816
1282,"chr2L",12473216,12473415,"intron (NM_001298946, intron 4 of 5)","intron (NM_001298946, intron 4 of 5)",10274,"NM_001169494",34665,"Dm.7349","NM_080364","bun","1550|Bun|BunA|CG31857|CG42281|CG5461|Dm_2L:60722|Dmel\CG42281|Dmel_CG31857|Dmel_CG5461|EP(2)0488|TSC-22|Tsc22|bnc|l(2)00255|l(2)02687|l(2)05479|l(2)06475|l(2)k02903|l(2)rI043|shs","bunched","protein-coding",5.21,4.9,5.47,-0.57,0.0108,0.0736,1220,"chr2L",12487872,12488071,"intron (NM_001042894, intron 5 of 6)","intron (NM_001042894, intron 5 of 6)",-4382,"NM_001169494",34665,"Dm.7349","bun","1550|Bun|BunA|CG31857|CG42281|CG5461|Dm_2L:60722|Dmel\CG42281|Dmel_CG31857|Dmel_CG5461|EP(2)0488|TSC-22|Tsc22|bnc|l(2)00255|l(2)02687|l(2)05479|l(2)06475|l(2)k02903|l(2)rI043|shs","bunched","protein-coding",6.12,6.46,5.67,0.79,2.55e-06,0.000819
264,"chr2L",2855221,2855420,"promoter-TSS (NM_164508)","promoter-TSS (NM_164508)",-11,"NM_001273040",33486,"Dm.18379","NM_134880","CG3104","Dmel\CG3104","uncharacterized protein","protein-coding",6.23,5.95,6.47,-0.52,0.00266,0.028,255,"chr2L",2855465,2855664,"promoter-TSS (NM_164508)","promoter-TSS (NM_164508)",214,"NM_134880",33486,"Dm.18379","CG3104","Dmel\CG3104","uncharacterized protein","protein-coding",5.46,4.62,5.99,-1.37,2.54e-12,2.53e-09
3922,"chr2R",21505998,21506197,"promoter-TSS (NM_206191)","promoter-TSS (NM_206191)",-50,"NM_206191",37451,"Dm.20433","NM_079080","MESK2","BcDNA:GH12032|BcDNA:LD27504|BcDNA:RH10174|CG15668|CG15669|Dmel\CG15669|Mesk2|l(2)01467|mesk2","Misexpression suppressor of KSR 2","protein-coding",6.26,6.59,5.82,0.77,1.24e-05,0.000547,3690,"chr2R",21502116,21502315,"promoter-TSS (NM_137741)","promoter-TSS (NM_137741)",118,"NM_166455",37451,"Dm.20433","MESK2","BcDNA:GH12032|BcDNA:LD27504|BcDNA:RH10174|CG15668|CG15669|Dmel\CG15669|Mesk2|l(2)01467|mesk2","Misexpression suppressor of KSR 2","protein-coding",6.42,6.19,6.61,-0.42,0.00104,0.0816
6012,"chr3L",16054459,16054658,"intron (NM_001104144, intron 2 of 15)","intron (NM_001104144, intron 2 of 15)",2599,"NM_001259854",49070,"Dm.13965","NM_140573","Mbs","0573/06|0953/04|CG32156|CG5600|CG5891|DMBS|DMYPT|DMbs|Dmel\CG32156|MBS|Mypt|l(3)03802|l(3)72Dd|l(3)S005331b|l(3)S057306|l(3)S057306b|l(3)S095304|l(3)j3B4|l(3)j7A1|mbs","Myosin binding subunit","protein-coding",7.14,7.37,6.86,0.51,0.011,0.0745,5661,"chr3L",16074620,16074819,"intron (NM_001104143, intron 1 of 6)","intron (NM_001104143, intron 1 of 6)",1353,"NM_140573",49070,"Dm.13965","Mbs","0573/06|0953/04|CG32156|CG5600|CG5891|DMBS|DMYPT|DMbs|Dmel\CG32156|MBS|Mypt|l(3)03802|l(3)72Dd|l(3)S005331b|l(3)S057306|l(3)S057306b|l(3)S095304|l(3)j3B4|l(3)j7A1|mbs","Myosin binding subunit","protein-coding",6.86,7.12,6.53,0.59,6.53e-05,0.0128
7917,"chr3R",15476151,15476350,"promoter-TSS (NM_206496)","promoter-TSS (NM_206496)",-57,"NM_206496",41887,"Dm.11730","NM_169659","AdamTS-A","CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy","ADAM metallopeptidase with thrombospondin type 1 motif A","protein-coding",7.2,7.43,6.93,0.5,0.000368,0.00674,7411,"chr3R",15466151,15466350,"intron (NM_206496, intron 1 of 16)","intron (NM_206496, intron 1 of 16)",-2741,"NM_001275675",41887,"Dm.11730","AdamTS-A","CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy","ADAM metallopeptidase with thrombospondin type 1 motif A","protein-coding",4.91,5.27,4.43,0.85,3.19e-05,0.00728
9164,"chr3R",29084208,29084407,"intron (NM_001276122, intron 2 of 8)","(ATACAG)n|Simple_repeat|Simple_repeat",-4006,"NM_001276123",43435,"Dm.21690","NM_143409","CG11873","Dmel\CG11873|anon-WO0140519.162","uncharacterized protein","protein-coding",7.87,8.1,7.59,0.52,0.0106,0.0727,8592,"chr3R",29084223,29084422,"intron (NM_001276122, intron 2 of 8)","(ATACAG)n|Simple_repeat|Simple_repeat",-3991,"NM_001276123",43435,"Dm.21690","CG11873","Dmel\CG11873|anon-WO0140519.162","uncharacterized protein","protein-coding",7.13,7.33,6.91,0.42,9e-04,0.0759
410,"chr2L",4123809,4124008,"TTS (NM_057754)","TTS (NM_057754)",2206,"NM_057754",33621,"Dm.4148","NM_057754","Sr-CI","CG4099|CT9876|D-SR-CI|DSR-CI|Dmel\CG4099|SR-C1|SR-CI|Sr-C1|Sr-CL|Sr-Cl|dSR-C1|dSR-CI|dSRC-I|dScR-I","Scavenger receptor class C, type I","protein-coding",5.08,5.51,4.45,1.06,1.02e-05,0.000476,396,"chr2L",4123965,4124164,"TTS (NM_057754)","TTS (NM_057754)",2362,"NM_057754",33621,"Dm.4148","Sr-CI","CG4099|CT9876|D-SR-CI|DSR-CI|Dmel\CG4099|SR-C1|SR-CI|Sr-C1|Sr-CL|Sr-Cl|dSR-C1|dSR-CI|dSRC-I|dScR-I","Scavenger receptor class C, type I","protein-coding",4.74,4.29,5.08,-0.79,0.000792,0.071
