PeakID (cmd=annotatePeaks.pl Kirkland_LamB_DESEQ2.bed dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5422	chr3L	14782599	14782798	+	1.00	NA	intron (NM_001169974, intron 1 of 6)	intron (NM_001169974, intron 1 of 6)	3714	NM_001169974	39611	Dm.4521	NM_140466		bmm	ATGL|ATGL/bmm|Atgl|BMM|Bmm|CG5295|Dmel\CG5295	brummer	protein-coding
2274	chr2R	8914409	8914608	+	1.00	NA	promoter-TSS (NM_165636)	promoter-TSS (NM_165636)	-16	NM_080076	45325	Dm.1802	NM_080076		lin	CG11770|Dmel\CG11770|Lin	lines	protein-coding
7037	chr3R	13014503	13014702	+	1.00	NA	intron (NM_169491, intron 1 of 5)	intron (NM_169491, intron 1 of 5)	-2559	NM_169490	41602	Dm.2246	NM_079612		CtBP	0256/16|256/16|BcDNA:GH07572|CG7583|CTBP|Dm-CtBP|Dmel\CG7583|EP(3)3528|G9|RE01030|RE61183|ctbp|dCtBP|l(3)03463|l(3)03464|l(3)87DE|l(3)87De|l(3)G9	C-terminal Binding Protein	protein-coding
9788	chrX	11359085	11359284	+	1.00	NA	promoter-TSS (NM_132484)	promoter-TSS (NM_132484)	-52	NM_132484	32079	Dm.14003	NM_132484		Pa1	BcDNA:RE09126|BcDNA:RH21749|CG11750|Dmel\CG11750|PA1|dPA1	PTIP associated 1	protein-coding
8122	chr3R	24787233	24787432	+	1.00	NA	promoter-TSS (NM_143029)	promoter-TSS (NM_143029)	89	NM_143027	42950	Dm.1321	NM_143027		CG5805	Dmel\CG5805	uncharacterized protein	protein-coding
9325	chrX	6261011	6261210	+	1.00	NA	promoter-TSS (NM_132075)	promoter-TSS (NM_132075)	-59	NM_132075	31560	Dm.5285	NM_132075		CG3781	Dmel\CG3781|JosD2|Q9W422	uncharacterized protein	protein-coding
8583	chr3R	30715093	30715292	+	1.00	NA	promoter-TSS (NR_133491)	promoter-TSS (NR_133491)	67	NR_133491	26067530		NR_133491		lncRNA:CR46219	CR46219|Dmel\CR46219|lincRNA.903	long non-coding RNA:CR46219	ncRNA
3658	chr2R	21709495	21709694	+	1.00	NA	promoter-TSS (NR_124682)	promoter-TSS (NR_124682)	1	NR_124682	19835280		NR_124682		lncRNA:CR44749	CR44749|Dmel\CR44749	long non-coding RNA:CR44749	ncRNA
576	chr2L	6412081	6412280	+	1.00	NA	promoter-TSS (NM_135181)	promoter-TSS (NM_135181)	-135	NM_001298740	33895	Dm.23851	NM_135181		CG13982	Dmel\CG13982	uncharacterized protein	protein-coding
297	chr2L	3122322	3122521	+	1.00	NA	intron (NM_057805, intron 3 of 10)	intron (NM_057805, intron 3 of 10)	-6214	NM_134905	33527	Dm.27643	NM_134905		CG15403	Dmel\CG15403	uncharacterized protein	protein-coding
10169	chrX	15653597	15653796	+	1.00	NA	Intergenic	Intergenic	-8889	NM_132822	32500	Dm.26637	NM_132822		CG8119	Dmel\CG8119	uncharacterized protein	protein-coding
2439	chr2R	10217104	10217303	+	1.00	NA	intron (NM_001103786, intron 1 of 8)	intron (NM_001103786, intron 1 of 8)	-5856	NR_144681	30522429		NR_144681		lncRNA:CR46322	CR46322|Dmel\CR46322	long non-coding RNA:CR46322	ncRNA
2200	chr2R	8030916	8031115	+	1.00	NA	promoter-TSS (NM_079956)	promoter-TSS (NM_079956)	-268	NM_001273864	44108	Dm.3727	NM_079956		Optix	CG18455|D-Six3|Dmel\CG18455|Dsix3|OPTIX|Six3|anon-WO0153538.79|opt|optix|opx|six3	optix	protein-coding
