"peak.x"	"Chr.x"	"Start.x"	"End.x"	"Annotation.x"	"Detailed.Annotation.x"	"Distance.to.TSS.x"	"Nearest.PromoterID.x"	"Entrez.ID.x"	"Nearest.Unigene.x"	"Nearest.Refseq"	"Gene.Name.x"	"Gene.Alias.x"	"Gene.Description.x"	"Gene.Type.x"	"Conc.x"	"Conc_group1.x"	"Conc_group2.x"	"Fold.x"	"p.value.x"	"FDR.x"	"peak.y"	"Chr.y"	"Start.y"	"End.y"	"Annotation.y"	"Detailed.Annotation.y"	"Distance.to.TSS.y"	"Nearest.PromoterID.y"	"Entrez.ID.y"	"Nearest.Unigene.y"	"Gene.Name.y"	"Gene.Alias.y"	"Gene.Description.y"	"Gene.Type.y"	"Conc.y"	"Conc_group1.y"	"Conc_group2.y"	"Fold.y"	"p.value.y"	"FDR.y"
3121	"chr2R"	16364682	16364881	"promoter-TSS (NM_137280)"	"promoter-TSS (NM_137280)"	-474	"NM_137280"	36834	"Dm.16008"	"NM_137280"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	4.82	2.66	5.37	-2.71	5.78e-15	1.03e-11	3406	"chr2R"	16365916	16366115	"promoter-TSS (NM_001299561)"	"promoter-TSS (NM_001299561)"	-120	"NM_001299561"	36834	"Dm.16008"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	6.09	5.54	6.48	-0.95	7.26e-07	7.43e-05
3121	"chr2R"	16364682	16364881	"promoter-TSS (NM_137280)"	"promoter-TSS (NM_137280)"	-474	"NM_137280"	36834	"Dm.16008"	"NM_137280"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	4.82	2.66	5.37	-2.71	5.78e-15	1.03e-11	3405	"chr2R"	16364636	16364835	"promoter-TSS (NM_137280)"	"promoter-TSS (NM_137280)"	-428	"NM_137280"	36834	"Dm.16008"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	5.52	4.64	6.07	-1.43	8.27e-11	7.42e-08
10725	"chrY_CP007111v1_random"	27712	27911	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.94	3.36	5.42	-2.06	7.35e-09	5.43e-06	9570	"chrUn_DS484309v1"	1618	1817	NA	"TART|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.77	4.32	5.11	-0.79	0.0014	0.018
10722	"chrY_CP007111v1_random"	21201	21400	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.44	3.56	4.78	-1.22	0.000175	0.0305	9570	"chrUn_DS484309v1"	1618	1817	NA	"TART|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.77	4.32	5.11	-0.79	0.0014	0.018
10723	"chrY_CP007111v1_random"	26253	26452	NA	"TART_B1|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	""	4.5	2.83	4.99	-2.17	2.82e-08	1.89e-05	9570	"chrUn_DS484309v1"	1618	1817	NA	"TART|LINE|Jockey"	NA	NA	NA	""	""	""	""	""	4.77	4.32	5.11	-0.79	0.0014	0.018
3122	"chr2R"	16365897	16366096	"promoter-TSS (NM_001299561)"	"promoter-TSS (NM_001299561)"	-101	"NM_001299561"	36834	"Dm.16008"	"NM_137280"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	5.28	2.87	5.86	-2.99	7.98e-20	2.14e-16	3406	"chr2R"	16365916	16366115	"promoter-TSS (NM_001299561)"	"promoter-TSS (NM_001299561)"	-120	"NM_001299561"	36834	"Dm.16008"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	6.09	5.54	6.48	-0.95	7.26e-07	7.43e-05
3122	"chr2R"	16365897	16366096	"promoter-TSS (NM_001299561)"	"promoter-TSS (NM_001299561)"	-101	"NM_001299561"	36834	"Dm.16008"	"NM_137280"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	5.28	2.87	5.86	-2.99	7.98e-20	2.14e-16	3405	"chr2R"	16364636	16364835	"promoter-TSS (NM_137280)"	"promoter-TSS (NM_137280)"	-428	"NM_137280"	36834	"Dm.16008"	"CG15711"	"Dmel\CG15711"	"uncharacterized protein"	"protein-coding"	5.52	4.64	6.07	-1.43	8.27e-11	7.42e-08
5748	"chr3L"	18012066	18012265	"intron (NM_001259892, intron 3 of 7)"	"intron (NM_001259892, intron 3 of 7)"	-9087	"NR_003872"	5740406	"Dm.36138"	"NR_003872"	"snoRNA:Me28S-A30"	"CR34710|Dmel\CR34710|Me28S-Am30"	"ncRNA"	"ncRNA"	6.69	6.09	6.95	-0.86	1.52e-06	0.000681	6271	"chr3L"	18010470	18010669	"intron (NM_001259892, intron 3 of 7)"	"intron (NM_001259892, intron 3 of 7)"	-7491	"NR_003872"	5740406	"Dm.36138"	"snoRNA:Me28S-A30"	"CR34710|Dmel\CR34710|Me28S-Am30"	"ncRNA"	"ncRNA"	5.72	5.46	5.95	-0.49	0.00972	0.0683
5748	"chr3L"	18012066	18012265	"intron (NM_001259892, intron 3 of 7)"	"intron (NM_001259892, intron 3 of 7)"	-9087	"NR_003872"	5740406	"Dm.36138"	"NR_003872"	"snoRNA:Me28S-A30"	"CR34710|Dmel\CR34710|Me28S-Am30"	"ncRNA"	"ncRNA"	6.69	6.09	6.95	-0.86	1.52e-06	0.000681	6270	"chr3L"	18008896	18009095	"intron (NM_001259892, intron 3 of 7)"	"CpG"	-5917	"NR_003872"	5740406	"Dm.36138"	"snoRNA:Me28S-A30"	"CR34710|Dmel\CR34710|Me28S-Am30"	"ncRNA"	"ncRNA"	6.48	6.14	6.76	-0.62	0.000669	0.0105
6518	"chr3R"	7451906	7452105	"TTS (NR_048339)"	"TTS (NR_048339)"	553	"NR_048339"	12798048	""	"NR_048339"	"mir-4950"	"CR43550|Dmel\CR43550|dme-mir-4950"	"mir-4950 stem loop"	"ncRNA"	5.49	4.83	5.78	-0.95	0.000102	0.0199	7096	"chr3R"	7451902	7452101	"TTS (NR_048339)"	"TTS (NR_048339)"	549	"NR_048339"	12798048	""	"mir-4950"	"CR43550|Dmel\CR43550|dme-mir-4950"	"mir-4950 stem loop"	"ncRNA"	6.12	5.83	6.37	-0.54	0.00304	0.0306
7835	"chr3R"	21982613	21982812	"intron (NM_001275888, intron 2 of 5)"	"(TTT)n|Simple_repeat|Simple_repeat"	10333	"NM_143745"	44936	"Dm.21704"	"NM_143745"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	4.67	3.74	5.04	-1.3	0.000177	0.0305	8515	"chr3R"	21983988	21984187	"intron (NM_001275888, intron 2 of 5)"	"intron (NM_001275888, intron 2 of 5)"	11708	"NM_001275888"	44936	"Dm.21704"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	6.47	6.07	6.78	-0.71	0.000426	0.00756
7835	"chr3R"	21982613	21982812	"intron (NM_001275888, intron 2 of 5)"	"(TTT)n|Simple_repeat|Simple_repeat"	10333	"NM_143745"	44936	"Dm.21704"	"NM_143745"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	4.67	3.74	5.04	-1.3	0.000177	0.0305	8516	"chr3R"	21985911	21986110	"intron (NM_001275888, intron 2 of 5)"	"(TA)n|Simple_repeat|Simple_repeat"	13631	"NM_001275888"	44936	"Dm.21704"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	7.11	6.87	7.31	-0.43	0.00392	0.0362
7835	"chr3R"	21982613	21982812	"intron (NM_001275888, intron 2 of 5)"	"(TTT)n|Simple_repeat|Simple_repeat"	10333	"NM_143745"	44936	"Dm.21704"	"NM_143745"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	4.67	3.74	5.04	-1.3	0.000177	0.0305	8510	"chr3R"	21953679	21953878	"intron (NM_001104395, intron 2 of 6)"	"intron (NM_001104395, intron 2 of 6)"	4664	"NM_001104395"	44936	"Dm.21704"	"Eip93F"	"CG18389|Dmel\CG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11"	"Ecdysone-induced protein 93F"	"protein-coding"	6.85	6.56	7.09	-0.52	0.000461	0.0079
