"peak.x"	"Chr.x"	"Start.x"	"End.x"	"Annotation.x"	"Detailed.Annotation.x"	"Distance.to.TSS.x"	"Nearest.PromoterID.x"	"Entrez.ID.x"	"Nearest.Unigene.x"	"Nearest.Refseq"	"Gene.Name.x"	"Gene.Alias.x"	"Gene.Description.x"	"Gene.Type.x"	"Conc.x"	"Conc_group1.x"	"Conc_group2.x"	"Fold.x"	"p.value.x"	"FDR.x"	"peak.y"	"Chr.y"	"Start.y"	"End.y"	"Annotation.y"	"Detailed.Annotation.y"	"Distance.to.TSS.y"	"Nearest.PromoterID.y"	"Entrez.ID.y"	"Nearest.Unigene.y"	"Gene.Name.y"	"Gene.Alias.y"	"Gene.Description.y"	"Gene.Type.y"	"Conc.y"	"Conc_group1.y"	"Conc_group2.y"	"Fold.y"	"p.value.y"	"FDR.y"
4297	"chr3L"	1610469	1610668	"TTS (NM_139375)"	"TTS (NM_139375)"	3942	"NM_001274339"	38190	"Dm.29553"	"NM_139375"	"CG12105"	"Dmel\CG12105"	"uncharacterized protein"	"protein-coding"	5.86	6.11	5.55	0.57	0.00083	0.0726	4577	"chr3L"	1610499	1610698	"TTS (NM_139375)"	"TTS (NM_139375)"	3912	"NM_001274339"	38190	"Dm.29553"	"CG12105"	"Dmel\CG12105"	"uncharacterized protein"	"protein-coding"	6.58	6.78	6.36	0.42	0.0164	0.0977
4297	"chr3L"	1610469	1610668	"TTS (NM_139375)"	"TTS (NM_139375)"	3942	"NM_001274339"	38190	"Dm.29553"	"NM_139375"	"CG12105"	"Dmel\CG12105"	"uncharacterized protein"	"protein-coding"	5.86	6.11	5.55	0.57	0.00083	0.0726	4578	"chr3L"	1614438	1614637	"promoter-TSS (NM_001274339)"	"promoter-TSS (NM_001274339)"	-27	"NM_001274339"	38190	"Dm.29553"	"CG12105"	"Dmel\CG12105"	"uncharacterized protein"	"protein-coding"	7.2	7.41	6.96	0.45	0.0153	0.0933
10278	"chrX"	14609096	14609295	"intron (NM_001298314, intron 4 of 6)"	"intron (NM_001298314, intron 4 of 6)"	-6615	"NM_001298313"	32397	"Dm.17429"	"NM_132738"	"sbm"	"CG9413|Dmel\CG9413"	"sobremesa"	"protein-coding"	4.4	4.79	3.87	0.92	0.000145	0.0233	10965	"chrX"	14619758	14619957	"intron (NM_001258738, intron 2 of 6)"	"intron (NM_001258738, intron 2 of 6)"	-17277	"NM_132738"	32397	"Dm.17429"	"sbm"	"CG9413|Dmel\CG9413"	"sobremesa"	"protein-coding"	6.1	6.34	5.82	0.52	0.00442	0.0394
10278	"chrX"	14609096	14609295	"intron (NM_001298314, intron 4 of 6)"	"intron (NM_001298314, intron 4 of 6)"	-6615	"NM_001298313"	32397	"Dm.17429"	"NM_132738"	"sbm"	"CG9413|Dmel\CG9413"	"sobremesa"	"protein-coding"	4.4	4.79	3.87	0.92	0.000145	0.0233	10959	"chrX"	14592607	14592806	"intron (NM_001298313, intron 1 of 8)"	"intron (NM_001298313, intron 1 of 8)"	-1115	"NM_001298312"	32397	"Dm.17429"	"sbm"	"CG9413|Dmel\CG9413"	"sobremesa"	"protein-coding"	6.4	6.63	6.13	0.51	0.0161	0.0962
2588	"chr2R"	11104804	11105003	"intron (NM_001299374, intron 1 of 4)"	"intron (NM_001299374, intron 1 of 4)"	1913	"NM_206089"	2768719	"Dm.22012"	"NM_206089"	"luna"	"CG17326|CG33473|CG9087|DKLF|Dmel\CG33473|KLF|Klf|LUNA|lincRNA.284"	"luna"	"protein-coding"	7.8	7.95	7.63	0.32	0.001	0.0801	2775	"chr2R"	11104808	11105007	"intron (NM_001299374, intron 1 of 4)"	"intron (NM_001299374, intron 1 of 4)"	1909	"NM_001273950"	2768719	"Dm.22012"	"luna"	"CG17326|CG33473|CG9087|DKLF|Dmel\CG33473|KLF|Klf|LUNA|lincRNA.284"	"luna"	"protein-coding"	8.59	8.75	8.4	0.35	0.013	0.0832
6600	"chr3R"	6495712	6495911	"TTS (NM_206436)"	"TTS (NM_206436)"	6428	"NM_001300267"	40797	""	"NM_141402"	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	4.59	5.03	3.96	1.07	9.2e-06	0.00254	7037	"chr3R"	6476745	6476944	"Intergenic"	"Intergenic"	-1467	"NM_001260021"	40797	""	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	6.55	6.8	6.25	0.55	0.00325	0.032
6600	"chr3R"	6495712	6495911	"TTS (NM_206436)"	"TTS (NM_206436)"	6428	"NM_001300267"	40797	""	"NM_141402"	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	4.59	5.03	3.96	1.07	9.2e-06	0.00254	7038	"chr3R"	6478086	6478285	"promoter-TSS (NM_001300271)"	"promoter-TSS (NM_001300271)"	-126	"NM_001260021"	40797	""	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	7.15	7.48	6.73	0.76	6.54e-06	0.000337
6600	"chr3R"	6495712	6495911	"TTS (NM_206436)"	"TTS (NM_206436)"	6428	"NM_001300267"	40797	""	"NM_141402"	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	4.59	5.03	3.96	1.07	9.2e-06	0.00254	7039	"chr3R"	6480748	6480947	"intron (NM_001300270, intron 2 of 8)"	"intron (NM_001300270, intron 2 of 8)"	-1943	"NM_206436"	40797	""	"CG15186"	"Dmel\CG15186"	"uncharacterized protein"	"protein-coding"	5.72	6.01	5.36	0.65	0.00221	0.0247
9990	"chrX"	11377994	11378193	"intron (NM_001103486, intron 3 of 17)"	"intron (NM_001103486, intron 3 of 17)"	2330	"NM_167281"	32083	"Dm.4352"	"NM_078565"	"dlg1"	"11|CG1725|CG1730|CPD|DLG|DLG-A|DLG1|Discs-large|Dlg|Dlg-A|Dlg1|DlgA|DlgS97|Dmel\CG1725|Drodlg|PSD-95|PSD95|SAP97|anon-EST:Posey93|anon-WO03040301.258|anon-WO03040301.260|anon-WO03040301.268|d. lg.-1|dlg|dlg-1|dlg-A|dlgA|dlgS97|l(1)10Bf|l(1)G0276|l(1)G0342|l(1)G0456|l(1)G19|l(1)L11|l(1)bwn|l(1)d.lg-1|l(1)d.lg.-1|l(1)discs large|l(1)dlg|l(1)dlg-1|l(1)dlg1|l(1)l.pr.-2|l(1)lpr-2|misb"	"discs large 1"	"protein-coding"	5.08	5.34	4.77	0.58	0.00039	0.0466	10649	"chrX"	11377952	11378151	"intron (NM_001103486, intron 3 of 17)"	"intron (NM_001103486, intron 3 of 17)"	2288	"NM_167281"	32083	"Dm.4352"	"dlg1"	"11|CG1725|CG1730|CPD|DLG|DLG-A|DLG1|Discs-large|Dlg|Dlg-A|Dlg1|DlgA|DlgS97|Dmel\CG1725|Drodlg|PSD-95|PSD95|SAP97|anon-EST:Posey93|anon-WO03040301.258|anon-WO03040301.260|anon-WO03040301.268|d. lg.-1|dlg|dlg-1|dlg-A|dlgA|dlgS97|l(1)10Bf|l(1)G0276|l(1)G0342|l(1)G0456|l(1)G19|l(1)L11|l(1)bwn|l(1)d.lg-1|l(1)d.lg.-1|l(1)discs large|l(1)dlg|l(1)dlg-1|l(1)dlg1|l(1)l.pr.-2|l(1)lpr-2|misb"	"discs large 1"	"protein-coding"	5.96	6.18	5.69	0.49	0.00854	0.0634
7411	"chr3R"	15466151	15466350	"intron (NM_206496, intron 1 of 16)"	"intron (NM_206496, intron 1 of 16)"	-2741	"NM_001275675"	41887	"Dm.11730"	"NM_169659"	"AdamTS-A"	"CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy"	"ADAM metallopeptidase with thrombospondin type 1 motif A"	"protein-coding"	4.91	5.27	4.43	0.85	3.19e-05	0.00728	7917	"chr3R"	15476151	15476350	"promoter-TSS (NM_206496)"	"promoter-TSS (NM_206496)"	-57	"NM_206496"	41887	"Dm.11730"	"AdamTS-A"	"CG14869|CG6107|CT19033|Dmel\CG14869|l(3)89Aa|rnwy"	"ADAM metallopeptidase with thrombospondin type 1 motif A"	"protein-coding"	7.2	7.43	6.93	0.5	0.000368	0.00674
